question,context
can you cut a clipcan in half?,"once the cement or lead has been removed, the clipcan be drilled or sawed in half and wedged out"
how to reduce the detrimental effect of iron stains?,"if iron stainsremain, they can be reduced by the use of sequestering agentswhich anchor the metallic oxide so that its detrimental effectscannot spread"
what should be stored after they are separated from the statue?,any pieces which are later restorations or additions should be labelled and stored after they are separatedfrom the statue
What is the only record of theartistic taste of a past era?,"in many cases, they are the only record of theartistic taste of a past era, or they themselves may have beendone by a wellknown sculptor"
who should work closely with the conservator during all stages of treatment?,"it should always be the policy of the conservator to workclosely with the curator during all stages of treatment. bydoing so, the extent and order of the process can be decided"
how to decide if a detail longhidden under a past restoration is uncovered?,"bydoing so, the extent and order of the process can be decided.also, valuable information can be gained should a detail longhidden under a past restoration be uncovered"
can a themethod of fabrication be found?,"often, themethod of fabrication can be determined or a clue to theprovenance found"
the practice in previous centuries todesire that artworks be what above other considerations?,"it was the practice in previous centuries todesire that artworks be ""complete"" above other considerations,while modern conservation will at all times respect theintegrity of the work and the intention of the artist"
how many dis assembly hygei a after conservation?,"pau l gett y museu m collection,before treatment25 disassemblyhope hygei a after conservation, wit h moder n restoration s remove d26 disassemblyvenu s mazarin, with later restoration s deliberatel y retained27 reconstruction of fragmentsthere are a few instances when later restorations are deliberately left because they indicate the taste of the particularperiod in a highly unique and informative way"
what is in the j paul getty museum collection?,such was thecase with the venus mazarin in the j. paul getty museumcollection
can you separate two pieces of a statue?,"paul getty museumcollection. it has also become an acceptable technique to leaveunjoined pieces of a statue separate, especially when theoriginal design of the connecting marble is uncertain"
is it possible to build fragmentsmarble because of its translucence?,"reconstruction of fragmentsmarble owes its special translucence to several factors: thepurity of the calcite of which it is made, the size and shape ofthe crystals, and the inclusions which provide nuances ofcolor"
who tried to categorize by appearance?,"in the past, conservators and curators tried to categorizefragments by appearance. while the trained eye can be verysuccessful at this exercise, new methods of analysis are farmore exact"
How many samples in a grid pattern are required for neutron activation?,"xray florescence can be used when the taking of asample is not possible. neutron activation, which requiresseveral samples in a grid pattern, is a great deal more accurate"
"in reconstruction of stone, epoxy resins have taken the place of what?","the latter is able to detect the vein structure not visible to theeye so that correspondences can be made.in the reconstruction of stone, epoxy resins have taken theplace of shellac"
